,Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4
36,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
37,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
38,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
39,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
40,Drug Reaction,itching, skin rash, stomach pain, burning micturition
41,Drug Reaction,itching, stomach pain, burning micturition, spotting  urination
42,Drug Reaction,itching, skin rash, burning micturition, spotting  urination
43,Drug Reaction,itching, skin rash, stomach pain, spotting  urination
44,Drug Reaction,itching, skin rash, stomach pain, burning micturition
45,Drug Reaction, skin rash, stomach pain, burning micturition, spotting  urination
46,Drug Reaction,itching, stomach pain, burning micturition, spotting  urination
47,Drug Reaction,itching, skin rash, burning micturition, spotting  urination
48,Drug Reaction,itching, skin rash, stomach pain, spotting  urination
49,Drug Reaction,itching, skin rash, stomach pain, burning micturition
50,Peptic ulcer diseae, vomiting, loss of appetite, abdominal pain, passage of gases
51,Peptic ulcer diseae, vomiting, indigestion, abdominal pain, passage of gases
52,Peptic ulcer diseae, indigestion, loss of appetite, abdominal pain, passage of gases
53,Peptic ulcer diseae, vomiting, loss of appetite, abdominal pain, passage of gases
54,Peptic ulcer diseae, vomiting, indigestion, abdominal pain, passage of gases
55,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, passage of gases
56,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
57,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
58,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
59,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
60,AIDS, muscle wasting, patches in throat, high fever, extra marital contacts
61,AIDS, patches in throat, high fever, extra marital contacts,
62,AIDS, muscle wasting, high fever, extra marital contacts,
63,AIDS, muscle wasting, patches in throat, extra marital contacts,
64,AIDS, muscle wasting, patches in throat, high fever,
65,AIDS, muscle wasting, patches in throat, high fever, extra marital contacts
66,AIDS, muscle wasting, patches in throat, high fever, extra marital contacts
67,AIDS, patches in throat, high fever, extra marital contacts,
68,AIDS, muscle wasting, high fever, extra marital contacts,
69,AIDS, muscle wasting, patches in throat, high fever,
70,Diabetes , fatigue, weight loss, restlessness, lethargy
71,Diabetes , fatigue, weight loss, restlessness, lethargy
72,Diabetes , weight loss, restlessness, lethargy, irregular sugar level
73,Diabetes , fatigue, restlessness, lethargy, irregular sugar level
74,Diabetes , fatigue, weight loss, lethargy, irregular sugar level
75,Diabetes , fatigue, weight loss, restlessness, irregular sugar level
76,Diabetes , fatigue, weight loss, restlessness, lethargy
77,Diabetes , fatigue, weight loss, restlessness, lethargy
78,Diabetes , fatigue, weight loss, restlessness, lethargy
79,Diabetes , fatigue, weight loss, restlessness, lethargy
80,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
81,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
82,Gastroenteritis, sunken eyes, dehydration, diarrhoea,
83,Gastroenteritis, vomiting, dehydration, diarrhoea,
84,Gastroenteritis, vomiting, sunken eyes, diarrhoea,
85,Gastroenteritis, vomiting, sunken eyes, dehydration,
86,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
87,Gastroenteritis, sunken eyes, dehydration, diarrhoea,
88,Gastroenteritis, vomiting, dehydration, diarrhoea,
89,Gastroenteritis, vomiting, sunken eyes, diarrhoea,
90,Bronchial Asthma, fatigue, cough, high fever, breathlessness
91,Bronchial Asthma, cough, high fever, breathlessness, family history
92,Bronchial Asthma, fatigue, high fever, breathlessness, family history
93,Bronchial Asthma, fatigue, cough, breathlessness, family history
94,Bronchial Asthma, fatigue, cough, high fever, family history
95,Bronchial Asthma, fatigue, cough, high fever, breathlessness
96,Bronchial Asthma, fatigue, cough, high fever, breathlessness
97,Bronchial Asthma, fatigue, cough, high fever, breathlessness
98,Bronchial Asthma, cough, high fever, breathlessness, family history
99,Bronchial Asthma, fatigue, high fever, breathlessness, family history
100,Hypertension , headache, chest pain, dizziness, loss of balance
101,Hypertension , chest pain, dizziness, loss of balance, lack of concentration
102,Hypertension , headache, dizziness, loss of balance, lack of concentration
103,Hypertension , headache, chest pain, loss of balance, lack of concentration
104,Hypertension , headache, chest pain, dizziness, lack of concentration
105,Hypertension , headache, chest pain, dizziness, loss of balance
106,Hypertension , headache, chest pain, dizziness, loss of balance
107,Hypertension , chest pain, dizziness, loss of balance, lack of concentration
108,Hypertension , headache, dizziness, loss of balance, lack of concentration
109,Hypertension , headache, chest pain, loss of balance, lack of concentration
110,Migraine, acidity, indigestion, headache, blurred and distorted vision
111,Migraine, indigestion, headache, blurred and distorted vision, excessive hunger
112,Migraine, acidity, headache, blurred and distorted vision, excessive hunger
113,Migraine, acidity, indigestion, blurred and distorted vision, excessive hunger
114,Migraine, acidity, indigestion, headache, excessive hunger
115,Migraine, acidity, indigestion, headache, blurred and distorted vision
116,Migraine, acidity, indigestion, headache, blurred and distorted vision
117,Migraine, acidity, indigestion, headache, blurred and distorted vision
118,Migraine, acidity, indigestion, headache, blurred and distorted vision
119,Migraine, acidity, indigestion, headache, blurred and distorted vision
120,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
121,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
122,Cervical spondylosis, weakness in limbs, neck pain, dizziness, loss of balance
123,Cervical spondylosis, back pain, neck pain, dizziness, loss of balance
124,Cervical spondylosis, back pain, weakness in limbs, dizziness, loss of balance
125,Cervical spondylosis, back pain, weakness in limbs, neck pain, loss of balance
126,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
127,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
128,Cervical spondylosis, weakness in limbs, neck pain, dizziness, loss of balance
129,Cervical spondylosis, back pain, neck pain, dizziness, loss of balance
130,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium
131,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium
132,Paralysis (brain hemorrhage), headache, weakness of one body side, altered sensorium,
133,Paralysis (brain hemorrhage), vomiting, weakness of one body side, altered sensorium,
134,Paralysis (brain hemorrhage), vomiting, headache, altered sensorium,
135,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side,
136,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium
137,Paralysis (brain hemorrhage), headache, weakness of one body side, altered sensorium,
138,Paralysis (brain hemorrhage), vomiting, weakness of one body side, altered sensorium,
139,Paralysis (brain hemorrhage), vomiting, headache, altered sensorium,
140,Jaundice,itching, vomiting, fatigue, weight loss
141,Jaundice,itching, vomiting, fatigue, weight loss
142,Jaundice, vomiting, fatigue, weight loss, high fever
143,Jaundice,itching, fatigue, weight loss, high fever
144,Jaundice,itching, vomiting, weight loss, high fever
145,Jaundice,itching, vomiting, fatigue, high fever
146,Jaundice,itching, vomiting, fatigue, weight loss
147,Jaundice,itching, vomiting, fatigue, weight loss
148,Jaundice,itching, vomiting, fatigue, weight loss
149,Jaundice,itching, vomiting, fatigue, weight loss
150,Malaria, chills, vomiting, high fever, sweating
151,Malaria, chills, vomiting, high fever, sweating
152,Malaria, chills, vomiting, high fever, sweating
153,Malaria, vomiting, high fever, sweating, headache
154,Malaria, chills, high fever, sweating, headache
155,Malaria, chills, vomiting, sweating, headache
156,Malaria, chills, vomiting, high fever, headache
157,Malaria, chills, vomiting, high fever, sweating
158,Malaria, chills, vomiting, high fever, sweating
159,Malaria, chills, vomiting, high fever, sweating
160,Chicken pox,itching, skin rash, fatigue, lethargy
161,Chicken pox, skin rash, fatigue, lethargy, high fever
162,Chicken pox,itching, fatigue, lethargy, high fever
163,Chicken pox,itching, skin rash, lethargy, high fever
164,Chicken pox,itching, skin rash, fatigue, high fever
165,Chicken pox,itching, skin rash, fatigue, lethargy
166,Chicken pox,itching, skin rash, fatigue, lethargy
167,Chicken pox,itching, skin rash, fatigue, lethargy
168,Chicken pox,itching, skin rash, fatigue, lethargy
169,Chicken pox,itching, skin rash, fatigue, lethargy
170,Dengue, skin rash, chills, joint pain, vomiting
171,Dengue, skin rash, chills, joint pain, vomiting
172,Dengue, skin rash, chills, joint pain, vomiting
173,Dengue, skin rash, chills, joint pain, vomiting
174,Dengue, chills, joint pain, vomiting, fatigue
175,Dengue, skin rash, joint pain, vomiting, fatigue
176,Dengue, skin rash, chills, vomiting, fatigue
177,Dengue, skin rash, chills, joint pain, fatigue
178,Dengue, skin rash, chills, joint pain, vomiting
179,Dengue, skin rash, chills, joint pain, vomiting
180,Typhoid, chills, vomiting, fatigue, high fever
181,Typhoid, chills, vomiting, fatigue, high fever
182,Typhoid, chills, vomiting, fatigue, high fever
183,Typhoid, chills, vomiting, fatigue, high fever
184,Typhoid, chills, vomiting, fatigue, high fever
185,Typhoid, chills, vomiting, fatigue, high fever
186,Typhoid, chills, vomiting, fatigue, high fever
187,Typhoid, chills, vomiting, fatigue, high fever
188,Typhoid, chills, vomiting, fatigue, high fever
189,Typhoid, chills, fatigue, high fever, headache
190,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
191,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
192,hepatitis A, vomiting, yellowish skin, dark urine, nausea
193,hepatitis A, joint pain, yellowish skin, dark urine, nausea
194,hepatitis A, joint pain, vomiting, dark urine, nausea
195,hepatitis A, joint pain, vomiting, yellowish skin, nausea
196,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
197,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
198,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
199,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
200,Hepatitis B,itching, fatigue, lethargy, yellowish skin
201,Hepatitis B,itching, fatigue, lethargy, yellowish skin
202,Hepatitis B, fatigue, lethargy, yellowish skin, dark urine
203,Hepatitis B,itching, lethargy, yellowish skin, dark urine
204,Hepatitis B,itching, fatigue, yellowish skin, dark urine
205,Hepatitis B,itching, fatigue, lethargy, dark urine
206,Hepatitis B,itching, fatigue, lethargy, yellowish skin
207,Hepatitis B,itching, fatigue, lethargy, yellowish skin
208,Hepatitis B,itching, fatigue, lethargy, yellowish skin
209,Hepatitis B,itching, fatigue, lethargy, yellowish skin
210,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
211,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
212,Hepatitis C, yellowish skin, nausea, loss of appetite, yellowing of eyes
213,Hepatitis C, fatigue, nausea, loss of appetite, yellowing of eyes
214,Hepatitis C, fatigue, yellowish skin, loss of appetite, yellowing of eyes
215,Hepatitis C, fatigue, yellowish skin, nausea, yellowing of eyes
216,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
217,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
218,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
219,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
220,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
221,Hepatitis D, vomiting, fatigue, yellowish skin, dark urine
222,Hepatitis D, joint pain, fatigue, yellowish skin, dark urine
223,Hepatitis D, joint pain, vomiting, yellowish skin, dark urine
224,Hepatitis D, joint pain, vomiting, fatigue, dark urine
225,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
226,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
227,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
228,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
229,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
230,Hepatitis E, joint pain, vomiting, fatigue, high fever
231,Hepatitis E, joint pain, vomiting, fatigue, high fever
232,Hepatitis E, joint pain, vomiting, fatigue, high fever
233,Hepatitis E, vomiting, fatigue, high fever, yellowish skin
234,Hepatitis E, joint pain, fatigue, high fever, yellowish skin
235,Hepatitis E, joint pain, vomiting, high fever, yellowish skin
236,Hepatitis E, joint pain, vomiting, fatigue, yellowish skin
237,Hepatitis E, joint pain, vomiting, fatigue, high fever
238,Hepatitis E, joint pain, vomiting, fatigue, high fever
239,Hepatitis E, joint pain, vomiting, fatigue, high fever
240,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
241,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
242,Alcoholic hepatitis, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen
243,Alcoholic hepatitis, vomiting, abdominal pain, swelling of stomach, distention of abdomen
244,Alcoholic hepatitis, vomiting, yellowish skin, swelling of stomach, distention of abdomen
245,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, distention of abdomen
246,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
247,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
248,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
249,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
250,Tuberculosis, chills, vomiting, fatigue, weight loss
251,Tuberculosis, chills, vomiting, fatigue, weight loss
252,Tuberculosis, vomiting, fatigue, weight loss, cough
253,Tuberculosis, chills, fatigue, weight loss, cough
254,Tuberculosis, chills, vomiting, weight loss, cough
255,Tuberculosis, chills, vomiting, fatigue, cough
256,Tuberculosis, chills, vomiting, fatigue, weight loss
257,Tuberculosis, chills, vomiting, fatigue, weight loss
258,Tuberculosis, chills, vomiting, fatigue, weight loss
259,Tuberculosis, chills, vomiting, fatigue, weight loss
260,Common Cold, continuous sneezing, chills, fatigue, cough
261,Common Cold, continuous sneezing, chills, fatigue, cough
262,Common Cold, chills, fatigue, cough, high fever
263,Common Cold, continuous sneezing, fatigue, cough, high fever
264,Common Cold, continuous sneezing, chills, cough, high fever
265,Common Cold, continuous sneezing, chills, fatigue, high fever
266,Common Cold, continuous sneezing, chills, fatigue, cough
267,Common Cold, continuous sneezing, chills, fatigue, cough
268,Common Cold, continuous sneezing, chills, fatigue, cough
269,Common Cold, continuous sneezing, chills, fatigue, cough
270,Pneumonia, chills, fatigue, cough, high fever
271,Pneumonia, chills, fatigue, cough, high fever
272,Pneumonia, chills, fatigue, cough, high fever
273,Pneumonia, fatigue, cough, high fever, breathlessness
274,Pneumonia, chills, cough, high fever, breathlessness
275,Pneumonia, chills, fatigue, high fever, breathlessness
276,Pneumonia, chills, fatigue, cough, breathlessness
277,Pneumonia, chills, fatigue, cough, high fever
278,Pneumonia, chills, fatigue, cough, high fever
279,Pneumonia, chills, fatigue, cough, high fever
280,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
281,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
282,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
283,Dimorphic hemmorhoids(piles), pain during bowel movements, pain in anal region, bloody stool, irritation in anus
284,Dimorphic hemmorhoids(piles), constipation, pain in anal region, bloody stool, irritation in anus
285,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, bloody stool, irritation in anus
286,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, irritation in anus
287,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
288,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
289,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
290,Heart attack, vomiting, breathlessness, sweating, chest pain
291,Heart attack, vomiting, breathlessness, sweating, chest pain
292,Heart attack, breathlessness, sweating, chest pain,
293,Heart attack, vomiting, sweating, chest pain,
294,Heart attack, vomiting, breathlessness, chest pain,
295,Heart attack, vomiting, breathlessness, sweating,
296,Heart attack, vomiting, breathlessness, sweating, chest pain
297,Heart attack, breathlessness, sweating, chest pain,
298,Heart attack, vomiting, sweating, chest pain,
299,Heart attack, vomiting, breathlessness, chest pain,
300,Varicose veins, fatigue, cramps, bruising, obesity
301,Varicose veins, fatigue, cramps, bruising, obesity
302,Varicose veins, cramps, bruising, obesity, swollen legs
303,Varicose veins, fatigue, bruising, obesity, swollen legs
304,Varicose veins, fatigue, cramps, obesity, swollen legs
305,Varicose veins, fatigue, cramps, bruising, swollen legs
306,Varicose veins, fatigue, cramps, bruising, obesity
307,Varicose veins, fatigue, cramps, bruising, obesity
308,Varicose veins, fatigue, cramps, bruising, obesity
309,Varicose veins, fatigue, cramps, bruising, obesity
310,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
311,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
312,Hypothyroidism, weight gain, cold hands and feets, mood swings, lethargy
313,Hypothyroidism, weight gain, cold hands and feets, mood swings, lethargy
314,Hypothyroidism, fatigue, cold hands and feets, mood swings, lethargy
315,Hypothyroidism, fatigue, weight gain, mood swings, lethargy
316,Hypothyroidism, fatigue, weight gain, cold hands and feets, lethargy
317,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
318,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
319,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
320,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
321,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
322,Hyperthyroidism, mood swings, weight loss, restlessness, sweating
323,Hyperthyroidism, fatigue, weight loss, restlessness, sweating
324,Hyperthyroidism, fatigue, mood swings, restlessness, sweating
325,Hyperthyroidism, fatigue, mood swings, weight loss, sweating
326,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
327,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
328,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
329,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
330,Hypoglycemia, vomiting, fatigue, anxiety, sweating
331,Hypoglycemia, vomiting, fatigue, anxiety, sweating
332,Hypoglycemia, vomiting, fatigue, anxiety, sweating
333,Hypoglycemia, fatigue, anxiety, sweating, headache
334,Hypoglycemia, vomiting, anxiety, sweating, headache
335,Hypoglycemia, vomiting, fatigue, sweating, headache
336,Hypoglycemia, vomiting, fatigue, anxiety, headache
337,Hypoglycemia, vomiting, fatigue, anxiety, sweating
338,Hypoglycemia, vomiting, fatigue, anxiety, sweating
339,Hypoglycemia, vomiting, fatigue, anxiety, sweating
340,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
341,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
342,Osteoarthristis, neck pain, knee pain, hip joint pain, swelling joints
343,Osteoarthristis, joint pain, knee pain, hip joint pain, swelling joints
344,Osteoarthristis, joint pain, neck pain, hip joint pain, swelling joints
345,Osteoarthristis, joint pain, neck pain, knee pain, swelling joints
346,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
347,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
348,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
349,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
350,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
351,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
352,Arthritis, stiff neck, swelling joints, movement stiffness, painful walking
353,Arthritis, muscle weakness, swelling joints, movement stiffness, painful walking
354,Arthritis, muscle weakness, stiff neck, movement stiffness, painful walking
355,Arthritis, muscle weakness, stiff neck, swelling joints, painful walking
356,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
357,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
358,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
359,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
360,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
361,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
362,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning movements, loss of balance
363,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning movements, loss of balance
364,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning movements, loss of balance
365,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss of balance
366,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
367,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
368,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
369,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss of balance
370,Acne, skin rash, pus filled pimples, blackheads, scurring
371,Acne, skin rash, pus filled pimples, blackheads, scurring
372,Acne, pus filled pimples, blackheads, scurring,
373,Acne, skin rash, blackheads, scurring,
374,Acne, skin rash, pus filled pimples, scurring,
375,Acne, skin rash, pus filled pimples, blackheads,
376,Acne, skin rash, pus filled pimples, blackheads, scurring
377,Acne, skin rash, pus filled pimples, blackheads,
378,Acne, skin rash, pus filled pimples, scurring,
379,Acne, skin rash, blackheads, scurring,
380,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
381,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
382,Urinary tract infection, bladder discomfort, foul smell of urine, continuous feel of urine,
383,Urinary tract infection, burning micturition, foul smell of urine, continuous feel of urine,
384,Urinary tract infection, burning micturition, bladder discomfort, continuous feel of urine,
385,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine,
386,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
387,Urinary tract infection, burning micturition, bladder discomfort, continuous feel of urine,
388,Urinary tract infection, bladder discomfort, foul smell of urine, continuous feel of urine,
389,Urinary tract infection, burning micturition, bladder discomfort, continuous feel of urine,
390,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
391,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
392,Psoriasis, joint pain, skin peeling, silver like dusting, small dents in nails
393,Psoriasis, skin rash, skin peeling, silver like dusting, small dents in nails
394,Psoriasis, skin rash, joint pain, silver like dusting, small dents in nails
395,Psoriasis, skin rash, joint pain, skin peeling, small dents in nails
396,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
397,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
398,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
399,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
400,Impetigo, skin rash, high fever, blister, red sore around nose
401,Impetigo, skin rash, high fever, blister, red sore around nose
402,Impetigo, high fever, blister, red sore around nose, yellow crust ooze
403,Impetigo, skin rash, blister, red sore around nose, yellow crust ooze
404,Impetigo, skin rash, blister, red sore around nose, yellow crust ooze
405,Impetigo, skin rash, high fever, red sore around nose, yellow crust ooze
406,Impetigo, skin rash, high fever, blister, yellow crust ooze
407,Impetigo, skin rash, high fever, blister, red sore around nose
408,Impetigo, skin rash, high fever, blister, red sore around nose
409,Impetigo, skin rash, blister, red sore around nose, yellow crust ooze
410,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
411,Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,
412,Fungal infection,itching, nodal skin eruptions, dischromic  patches,
413,Fungal infection,itching, skin rash, dischromic  patches,
414,Fungal infection,itching, skin rash, nodal skin eruptions,
415,Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,
416,Fungal infection,itching, nodal skin eruptions, dischromic  patches,
417,Fungal infection,itching, skin rash, dischromic  patches,
418,Fungal infection,itching, skin rash, nodal skin eruptions,
419,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
420,Allergy, continuous sneezing, shivering, chills, watering from eyes
421,Allergy, shivering, chills, watering from eyes,
422,Allergy, continuous sneezing, chills, watering from eyes,
423,Allergy, continuous sneezing, shivering, watering from eyes,
424,Allergy, continuous sneezing, shivering, chills,
425,Allergy, shivering, chills, watering from eyes,
426,Allergy, continuous sneezing, chills, watering from eyes,
427,Allergy, continuous sneezing, shivering, watering from eyes,
428,Allergy, continuous sneezing, shivering, chills,
429,Allergy, continuous sneezing, shivering, chills, watering from eyes
430,GERD, stomach pain, acidity, ulcers on tongue, vomiting
431,GERD, stomach pain, ulcers on tongue, vomiting, cough
432,GERD, stomach pain, acidity, vomiting, cough
433,GERD, stomach pain, acidity, ulcers on tongue, cough
434,GERD, stomach pain, acidity, ulcers on tongue, vomiting
435,GERD, stomach pain, acidity, ulcers on tongue, vomiting
436,GERD, acidity, ulcers on tongue, vomiting, cough
437,GERD, stomach pain, ulcers on tongue, vomiting, cough
438,GERD, stomach pain, acidity, vomiting, cough
439,GERD, stomach pain, acidity, ulcers on tongue, cough
440,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
441,Chronic cholestasis, vomiting, yellowish skin, nausea, loss of appetite
442,Chronic cholestasis,itching, yellowish skin, nausea, loss of appetite
443,Chronic cholestasis,itching, vomiting, nausea, loss of appetite
444,Chronic cholestasis,itching, vomiting, yellowish skin, loss of appetite
445,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
446,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
447,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
448,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
449,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
450,Drug Reaction,itching, skin rash, stomach pain, burning micturition
451,Drug Reaction,itching, stomach pain, burning micturition, spotting  urination
452,Drug Reaction,itching, skin rash, burning micturition, spotting  urination
453,Drug Reaction,itching, skin rash, stomach pain, spotting  urination
454,Drug Reaction,itching, skin rash, stomach pain, burning micturition
